Change_%,Date,High,Low,Open,Price,date_column,Max_Min,CumulativeAvg
-0.04%,24/05/2024,1.0841,1.0815,1.0832,1.0822,2024-05-24,N/A,1.0822
-0.10%,27/05/2024,1.0853,1.0813,1.0848,1.0811,2024-05-27,N/A,1.0817
0.14%,28/05/2024,1.0837,1.0802,1.0818,1.0826,2024-05-28,N/A,1.082
-0.18%,29/05/2024,1.0853,1.0805,1.0828,1.0806,2024-05-29,N/A,1.0816
0.35%,30/05/2024,1.0856,1.0802,1.0810,1.0844,2024-05-30,N/A,1.0822
-0.18%,31/05/2024,1.0860,1.0812,1.0848,1.0825,2024-05-31,N/A,1.0822
-0.16%,03/06/2024,1.0849,1.0792,1.0829,1.0808,2024-06-03,N/A,1.082
-0.51%,04/06/2024,1.0826,1.0740,1.0813,1.0753,2024-06-04,N/A,1.0812
-0.20%,05/06/2024,1.0782,1.0721,1.0754,1.0731,2024-06-05,Min Price,1.0803
0.18%,06/06/2024,1.0763,1.0730,1.0737,1.0750,2024-06-06,N/A,1.0798
0.14%,07/06/2024,1.0788,1.0739,1.0754,1.0765,2024-06-07,N/A,1.0795
0.17%,10/06/2024,1.0805,1.0752,1.0758,1.0783,2024-06-10,N/A,1.0794
-0.24%,11/06/2024,1.0796,1.0746,1.0788,1.0757,2024-06-11,N/A,1.0791
0.13%,12/06/2024,1.0841,1.0739,1.0763,1.0771,2024-06-12,N/A,1.0789
-0.18%,13/06/2024,1.0793,1.0747,1.0771,1.0752,2024-06-13,N/A,1.0787
0.14%,14/06/2024,1.0793,1.0747,1.0755,1.0767,2024-06-14,N/A,1.0786
0.13%,17/06/2024,1.0820,1.0754,1.0775,1.0781,2024-06-17,N/A,1.0785
0.45%,18/06/2024,1.0855,1.0776,1.0778,1.0830,2024-06-18,N/A,1.0788
0.43%,19/06/2024,1.0888,1.0826,1.0833,1.0877,2024-06-19,Max Price,1.0793
-0.04%,20/06/2024,1.0896,1.0850,1.0878,1.0873,2024-06-20,N/A,1.0797
-0.16%,21/06/2024,1.0888,1.0848,1.0880,1.0855,2024-06-21,N/A,1.0799
0.02%,23/06/2024,1.0866,1.0850,1.0854,1.0857,2024-06-23,N/A,1.0802
0.09%,24/06/2024,1.0871,1.0853,1.0857,1.0866,2024-06-24,N/A,1.0805
